Attributes,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume
Symbols,AAPL,AMZN,FB,GCVRZ,GOOGL,GSK,LLY,MRK,MSFT,NFLX,NVS,ORCL,PFE,PYPL,TSLA,TWTR,AAPL,AMZN,FB,GCVRZ,GOOGL,GSK,LLY,MRK,MSFT,NFLX,NVS,ORCL,PFE,PYPL,TSLA,TWTR,AAPL,AMZN,FB,GCVRZ,GOOGL,GSK,LLY,MRK,MSFT,NFLX,NVS,ORCL,PFE,PYPL,TSLA,TWTR,AAPL,AMZN,FB,GCVRZ,GOOGL,GSK,LLY,MRK,MSFT,NFLX,NVS,ORCL,PFE,PYPL,TSLA,TWTR,AAPL,AMZN,FB,GCVRZ,GOOGL,GSK,LLY,MRK,MSFT,NFLX,NVS,ORCL,PFE,PYPL,TSLA,TWTR
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-06,173.237,1670.75,171.2,0.455,1149.27,38.8469,117.3718,76.3221,106.152,357.0,86.3275,50.9618,41.5515,90.8,319.59,35.05,174.1495,1672.26,172.47,0.46,1154.0,39.6594,119.4982,77.2011,106.152,357.04,86.657,51.2605,41.9975,92.29,324.24,35.25,171.4546,1633.34,169.27,0.4524,1118.36,38.7788,116.4519,76.1135,104.6936,347.19,86.2151,50.7428,41.4226,90.19,315.624,33.75,172.8303,1640.26,170.49,0.4524,1122.89,39.5864,117.9652,76.8684,105.1897,352.19,86.2403,51.0315,41.9579,92.25,317.22,34.16,28239591,3939883,13281161,18220,2412820,5727891,7421020,7992105,20609759,6717662,1024148,9220899,15607570,5939421,5038546,34058034
2019-02-07,171.0052,1625.0,168.2,0.4502,1111.82,39.9757,117.6981,76.4214,104.3514,347.9,86.124,50.5636,41.7398,91.11,313.3,31.17,172.5327,1625.54,169.24,0.4819,1111.99,40.073,118.0245,76.6101,104.7532,348.75,86.2015,50.7577,41.7795,91.71,314.7,31.73,168.9618,1592.91,165.25,0.4501,1093.59,39.4016,115.5816,75.597,103.4635,339.02,85.4263,49.9463,40.8452,90.01,303.0,30.31,169.557,1614.37,166.38,0.47,1105.91,39.4794,116.2146,76.3022,104.4357,344.71,85.5814,49.9961,41.3334,90.85,307.51,30.8,31741690,4626589,17517609,31797,1914877,3674152,7935029,9218891,29760697,7864529,1429898,14905039,23005696,7283827,6520611,69764059
2019-02-08,168.3418,1586.0,164.47,0.47,1094.88,39.7032,116.442,76.2327,103.5627,338.0,85.4651,49.8667,41.1649,90.02,306.83,30.47,170.0053,1588.59,167.37,0.4749,1105.1,40.1022,120.1016,77.0174,104.9417,348.0,86.1289,50.8025,41.8687,91.91,307.445,30.74,167.7739,1566.76,164.21,0.45,1094.24,39.6254,116.1651,76.0539,103.434,338.0,85.3585,49.5979,41.1253,90.0,298.5,29.42,169.7563,1588.22,167.33,0.46,1102.38,39.9854,118.2916,76.9975,104.8325,347.57,86.0949,50.8025,41.8588,91.87,305.8,30.01,23819966,5657457,12561422,83263,1088327,3130139,16195395,8842639,21461093,7561391,1731775,11535561,26091645,7642107,5844212,40669782
2019-02-11,170.3939,1600.98,167.9,0.46,1103.75,39.2459,117.896,77.2756,105.3583,350.0,85.6008,50.7328,41.9083,92.25,311.6,30.17,170.5532,1609.29,168.3,0.5,1113.43,39.3432,118.6279,77.3154,105.7353,352.87,85.8818,51.2455,41.9381,93.75,318.6,30.44,168.6008,1586.0,165.08,0.45,1100.0,39.0415,115.7596,75.6963,104.1331,344.81,85.3294,50.7229,41.1451,92.15,310.5,29.6598,168.7801,1591.0,165.79,0.5,1102.12,39.1485,116.719,76.193,104.4159,345.73,85.3876,51.0016,41.3136,92.69,312.84,30.23,20993425,3317328,12811176,50051,924881,5361271,7203060,13171650,18914123,5454863,1617439,9714510,25713635,6455938,7129713,28838151
2019-02-12,169.4475,1604.0,166.86,0.465,1111.01,39.1777,116.4717,76.7691,105.2988,348.09,85.9883,51.2306,41.3433,93.44,316.2,30.44,170.344,1639.39,168.34,0.5,1132.86,39.5183,118.5883,78.394,106.2909,360.0,86.1918,51.3202,41.6407,94.51,318.19,30.8,169.049,1598.88,164.5,0.4516,1111.01,39.1485,116.2146,76.5952,104.644,346.52,85.8236,50.9618,41.0261,93.2,309.62,30.23,170.2345,1638.01,165.04,0.47,1127.58,39.4405,118.1828,77.9908,106.0429,359.97,86.0949,50.9917,41.5019,94.38,311.81,30.39,22283523,4858604,16292290,33031,1751771,3235401,6975683,13049725,25056595,10429399,1254904,14188483,28975461,7497035,5517570,20315266
2019-02-13,170.7325,1647.0,165.38,0.468,1133.04,39.022,118.2916,78.0305,106.648,357.3,85.8527,51.0215,41.5515,94.59,312.35,30.57,171.8184,1656.38,166.22,0.4774,1142.85,39.4405,118.9641,78.6364,106.9258,359.6,86.3566,51.3202,41.6903,96.04,312.75,31.84,169.2682,1637.11,163.73,0.468,1126.0,38.9928,116.8179,77.9212,105.8643,350.28,85.8139,50.7229,41.0261,93.844,305.57,30.55,169.5272,1640.0,164.07,0.4765,1128.63,39.2848,118.341,78.4874,105.9635,351.77,86.0756,51.1908,41.3334,94.01,308.17,31.12,22490233,3560321,14205146,30380,1402087,3065503,12738558,10477211,18394869,10559146,2424271,11342571,23488812,8577942,5141617,29683308
2019-02-14,169.059,1624.5,163.19,0.5,1125.0,39.4989,118.2764,78.5967,105.4675,351.75,85.9787,51.0116,41.3334,93.65,303.38,30.86,170.6045,1637.9,164.8697,0.505,1136.13,39.8686,120.5735,79.0089,106.4397,360.45,86.468,51.5193,41.7497,94.99,306.77,31.28,168.7303,1606.06,162.2468,0.465,1117.09,39.4405,118.1372,78.1553,104.8226,348.33,85.6492,50.8622,41.2541,93.1,301.0,30.6,170.1448,1622.65,163.95,0.49,1129.2,39.7616,120.0763,78.4079,106.0528,359.07,86.2597,51.2505,41.601,94.42,303.77,30.96,21835747,4120524,12755151,19213,1055297,2940781,17847187,8184201,21784703,9295338,2514553,11155293,18847247,6579170,5200832,15321099
2019-02-15,170.5931,1627.86,164.51,0.4989,1139.3,40.1022,120.5039,79.1231,107.0548,358.47,86.3469,50.9021,42.0074,95.0,304.5,31.2,171.0414,1628.91,164.7,0.4989,1139.3,40.1995,121.7967,79.5899,107.4417,364.4,87.1996,51.4894,42.1363,95.43,308.0,31.8,169.0988,1604.5,160.86,0.475,1116.72,39.9368,119.7283,78.7357,106.5115,355.5,86.3081,50.8423,41.7101,94.45,303.9,30.97,169.7663,1607.95,162.5,0.475,1119.63,40.1314,121.7967,79.2721,107.3623,356.87,87.093,51.4894,42.0273,94.91,307.88,31.23,24626814,4343893,15504415,43656,1391348,3213874,10366435,10387517,26606886,9229980,2351443,13822166,18186859,6080181,3904947,17591516
2019-02-19,169.059,1601.0,160.5,0.48,1116.64,40.1119,120.6332,79.2522,106.9357,355.8,86.7732,51.2505,41.8687,94.45,306.56,31.23,170.7824,1634.0,164.15,0.5,1129.64,40.3163,122.6419,79.585,107.7988,365.0,87.3159,51.9474,42.4832,95.3,311.5442,32.11,168.8398,1600.56,160.33,0.48,1116.64,40.1119,120.6233,78.547,106.9258,355.32,86.7345,51.0116,41.8142,94.06,305.47,31.15,170.2743,1627.58,162.29,0.49,1126.51,40.18,121.4486,78.7059,107.3127,361.92,87.1802,51.7881,42.2255,95.02,305.64,31.65,18972826,3681656,14345390,117901,1099259,2676334,17861446,9211439,18038460,7396559,2123232,12357469,23181303,8092379,4168443,14391680
2019-02-20,170.5333,1630.0,162.25,0.49,1128.88,40.073,121.6972,78.4675,107.4622,364.85,87.8488,51.7682,42.1561,95.0,304.41,31.71,172.6551,1634.93,163.72,0.545,1130.93,40.4866,122.3635,79.0039,107.5419,366.71,88.2073,51.9723,42.1859,95.72,306.3,31.93,170.3341,1610.12,161.25,0.49,1111.75,40.0438,120.9315,78.2788,105.898,356.7,87.7713,51.2704,41.5614,93.98,299.0,31.21,171.3701,1622.1,162.56,0.52,1120.59,40.2482,121.9757,78.8946,106.7548,359.91,87.9263,51.5392,41.829,94.73,302.56,31.37,26114362,3337589,11770692,18058,1204533,2600363,19880296,8581602,21607671,8110741,1416617,13440874,25953408,8154094,7142117,16871139
2019-02-21,171.141,1619.85,161.93,0.51,1118.78,40.0228,121.379,78.6463,106.5058,360.03,87.9263,51.3998,41.6506,94.72,301.81,31.36,171.7088,1623.56,162.24,0.51,1119.15,40.2005,123.0695,79.4906,109.0762,362.85,87.9748,52.1166,41.948,95.51,303.2399,31.48,169.6467,1600.91,159.59,0.49,1097.98,39.924,121.1205,78.6165,106.4759,353.88,87.4128,51.2804,41.492,94.33,290.5,30.6,170.4038,1619.44,160.04,0.5,1104.21,40.0326,122.0353,79.2919,109.0065,356.97,87.7035,51.8777,41.7695,94.96,291.23,30.76,17249670,3483392,15607828,39175,1663980,2458054,20798847,7386114,29063231,6227897,806105,14759499,18607063,6410003,8909182,13944892
2019-02-22,170.9218,1623.5,160.58,0.51,1109.7,39.6969,122.0453,79.2323,109.6441,360.34,87.4903,52.1564,41.9281,95.24,294.49,30.81,172.3364,1634.94,162.41,0.535,1117.25,40.151,124.0441,80.315,110.7899,366.13,88.1298,52.3655,42.7459,96.0,296.5,31.73,170.7226,1621.17,160.31,0.5,1100.5,39.6475,121.9657,79.2323,109.415,360.05,87.4643,51.9673,41.8488,95.07,292.1,30.81,172.3065,1631.56,161.89,0.5,1116.56,40.0425,123.3082,80.2256,110.5607,363.02,87.9651,52.246,42.5823,95.98,294.71,31.71,18913154,3096191,15858468,71904,1471783,2279847,19574004,7955621,27763218,7088214,1056173,11689681,23510009,4898247,5740558,15413439
2019-02-25,173.4919,1641.45,163.07,0.54,1121.93,40.1215,123.4076,80.315,111.3478,367.01,88.1298,52.5148,42.6616,96.07,297.91,31.99,175.1954,1654.6,166.07,0.54,1125.4,40.2104,123.9745,80.4441,111.7663,371.49,88.5513,52.7936,42.9838,97.3038,302.9044,32.71,173.2827,1630.39,162.9,0.49,1114.11,39.924,122.7812,79.4509,110.8497,363.79,88.0523,52.2261,42.5625,96.0,297.0005,31.88,173.5617,1633.0,164.62,0.5099,1117.33,39.9833,123.1988,79.8382,111.1785,363.91,88.2752,52.3257,42.7013,96.7,298.77,31.99,21873358,3184462,18737106,26628,1310362,2203166,13682426,9295117,23750599,7569320,1666318,14722184,23979889,7470730,6626522,15061331
